Party,Statistic,Type,Coeff,pval_coeff,r2,Lilliefors,Linearity,Heteroscedasticity,Model_score
VijftigPlus,VoormaligeNederlandseAntillenAruba_48,votes,0.0024,0.0001,0.0051,0.0,0.8512,0.2563484003830268,3
VVD,Suriname_49,votes_square,0.001,0.0,0.0021,0.0,0.0,0.11087835769420755,2
D66,Suriname_49,votes_div,-3.8136,0.0,0.0163,0.0,0.0,0.061073052972238834,2
PVV,Suriname_49,votes,0.0024,0.0001,0.0035,0.0,0.3045,0.690016483321477,3
CDA,Suriname_49,votes,-0.0287,0.0,0.1071,0.0,0.0,7.680246326303307e-18,2
SP,Suriname_49,votes_div,-0.852,0.0,0.0048,0.0,0.0,0.10507202804517994,2
PvdA,Suriname_49,votes,0.0044,0.0,0.0049,0.0,0.9916,0.39460227477271914,3
Groenlinks,Suriname_49,votes_log,0.1094,0.0,0.0557,0.0,0.0,0.16778316899833048,3
FvD,Suriname_49,votes_log,0.0341,0.043,0.0028,0.0,0.1168,0.5072557574633692,3
PvdD,Suriname_49,votes,0.0028,0.0,0.0772,0.0,0.0,2.372094698631349e-17,2
CU,Suriname_49,votes_sqrt,-0.0063,0.0,0.0058,0.0,0.0699,6.331322189601211e-50,2
SGP,Suriname_49,votes,-0.0075,0.0,0.0182,0.0,0.0,3.80086177865532e-15,1
DENK,Suriname_49,votes,0.0048,0.0,0.2779,0.0,0.0,2.4146021734882348e-40,2
VijftigPlus,Suriname_49,votes,0.0006,0.0104,0.0022,0.0,0.1124,0.2860883423767962,3
VVD,Turkije_50,votes,-0.003,0.0,0.0045,0.0,0.056,3.3823072385481227e-35,2
D66,Turkije_50,votes_sqrt,0.0094,0.0,0.0299,0.0,0.0,0.27214441565296443,2
PVV,Turkije_50,votes_div,-0.2613,0.0007,0.0026,0.0,0.2926,0.0275421746409213,2
CDA,Turkije_50,votes,-0.0187,0.0,0.0695,0.0,0.0,3.395269635189141e-20,2
SP,Turkije_50,votes_div,-1.2492,0.0,0.0153,0.0,0.0,0.05672362508551353,2
PvdA,Turkije_50,votes_div,-0.4619,0.0,0.0021,0.0,0.2841,0.07025771493724031,3
Groenlinks,Turkije_50,votes_div,-2.8952,0.0001,0.002,0.0,0.0053,0.36644840143687496,2
FvD,Turkije_50,votes,0.0009,0.3213,0.0007,0.0,0.8224,0.8379603157377856,2
PvdD,Turkije_50,votes_sqrt,0.0046,0.0,0.0275,0.0,0.0,0.26589921528447225,2
CU,Turkije_50,votes_square,-0.0007,0.0,0.0078,0.0,0.1481,0.2640805897979042,3
SGP,Turkije_50,votes,-0.006,0.0,0.0185,0.0,0.0,2.074348474306033e-12,1
DENK,Turkije_50,votes,0.0066,0.0,0.778,0.0,0.0,2.1381429634776797e-64,2
VijftigPlus,Turkije_50,votes,0.0004,0.0481,0.0013,0.0,0.0482,0.11442859419363036,2
VVD,OverigNietWesterseMigratieachtergrond_51,votes_sqrt,0.0053,0.0,0.0133,0.0,0.0,0.6414782541136848,2
D66,OverigNietWesterseMigratieachtergrond_51,votes,0.0113,0.0,0.1986,0.0,0.0,1.742431252696796e-55,2
PVV,OverigNietWesterseMigratieachtergrond_51,votes_sqrt,-0.0035,0.0,0.0068,0.0,0.8835,0.9626663941550723,3
CDA,OverigNietWesterseMigratieachtergrond_51,votes_log,-0.1697,0.0,0.3294,0.0,0.0,0.09463574346550802,3
SP,OverigNietWesterseMigratieachtergrond_51,votes_div,-0.4027,0.0002,0.0021,0.0,0.0,0.031291693427076155,1
PvdA,OverigNietWesterseMigratieachtergrond_51,votes,-0.0035,0.0,0.0061,0.0,0.0,0.10840081990043601,2
Groenlinks,OverigNietWesterseMigratieachtergrond_51,votes,0.008,0.0,0.1895,0.0,0.0,2.284448277238506e-74,2
FvD,OverigNietWesterseMigratieachtergrond_51,votes,0.0016,0.0214,0.0036,0.0,0.0004,0.311082058049451,2
PvdD,OverigNietWesterseMigratieachtergrond_51,votes_sqrt,0.0102,0.0,0.1885,0.0,0.0,0.39633270005934396,3
CU,OverigNietWesterseMigratieachtergrond_51,votes_sqrt,-0.0049,0.0,0.007,0.0,0.4468,2.1670498521202852e-66,2
SGP,OverigNietWesterseMigratieachtergrond_51,votes,-0.0077,0.0,0.0375,0.0,0.0,2.4110248925576536e-27,1
DENK,OverigNietWesterseMigratieachtergrond_51,votes_square,0.0001,0.0,0.1932,0.0,0.2254,4.6286887673376855e-18,3
VijftigPlus,OverigNietWesterseMigratieachtergrond_51,votes_square,-0.0,0.7586,0.0,0.0,0.1582,0.24885723408350263,2
VVD,ALandbouwBosbouwEnVisserij_117,votes_div,-0.106,0.0,0.0042,0.0,0.8567,0.397251645174883,3
D66,ALandbouwBosbouwEnVisserij_117,votes_div,0.1043,0.3432,0.0002,0.0,0.0503,0.3931940219966401,2
PVV,ALandbouwBosbouwEnVisserij_117,votes,0.0014,0.0,0.0091,0.0,0.5597,0.5374364337070932,3
CDA,ALandbouwBosbouwEnVisserij_117,votes_log,0.0368,0.0,0.0826,0.0098,0.0,0.6690551277590593,3
SP,ALandbouwBosbouwEnVisserij_117,votes,0.0002,0.4422,0.0002,0.0,0.3754,0.08251603162610907,2
PvdA,ALandbouwBosbouwEnVisserij_117,votes_div,0.1137,0.2176,0.0004,0.0,0.2455,0.3902506315270854,2
Groenlinks,ALandbouwBosbouwEnVisserij_117,votes_div,0.3466,0.3143,0.0003,0.0,0.1252,0.5860220631992825,2
FvD,ALandbouwBosbouwEnVisserij_117,votes,0.0004,0.5702,0.0003,0.0,0.2686,0.1406340530182621,2
PvdD,ALandbouwBosbouwEnVisserij_117,votes_div,0.5748,0.0106,0.0021,0.0,0.005,0.4719650590260709,2
CU,ALandbouwBosbouwEnVisserij_117,votes,-0.0017,0.0,0.0105,0.0,0.621,0.00011216055711053638,2
SGP,ALandbouwBosbouwEnVisserij_117,votes,0.0003,0.6219,0.0001,0.0,0.0003,0.30256222565398067,1
DENK,ALandbouwBosbouwEnVisserij_117,votes,-0.0011,0.0,0.0872,0.0,0.0,1.1808379037329801e-06,2
VijftigPlus,ALandbouwBosbouwEnVisserij_117,votes,0.0003,0.0154,0.0024,0.0,0.6941,0.014506468957865089,2
VVD,BFNijverheidEnEnergie_118,votes_div,0.1,0.0,0.0208,0.0,0.1961,0.004275919534423957,2
D66,BFNijverheidEnEnergie_118,votes_sqrt,-0.0036,0.0,0.17,0.0,0.0,0.07273952696043429,3
PVV,BFNijverheidEnEnergie_118,votes,0.0007,0.0,0.0095,0.0,0.0,0.6513137786946126,2
CDA,BFNijverheidEnEnergie_118,votes_log,0.0182,0.0,0.1086,0.0004,0.0,0.0933650243362794,3
SP,BFNijverheidEnEnergie_118,votes,0.0006,0.0,0.0122,0.0,0.0,8.59402345945224e-11,1
PvdA,BFNijverheidEnEnergie_118,votes,-0.0003,0.0153,0.0014,0.0,0.9146,0.7956806865610966,3
Groenlinks,BFNijverheidEnEnergie_118,votes,-0.0017,0.0,0.1404,0.0,0.0,1.269810184367009e-26,2
FvD,BFNijverheidEnEnergie_118,votes,0.0,0.958,0.0,0.0,0.7431,0.9473476800163277,2
PvdD,BFNijverheidEnEnergie_118,votes_div,1.4162,0.0,0.0701,0.0,0.9595,7.763719298244497e-06,3
CU,BFNijverheidEnEnergie_118,votes,0.0017,0.0,0.0683,0.0,0.0001,3.442431605743319e-31,2
SGP,BFNijverheidEnEnergie_118,votes,0.0027,0.0,0.0876,0.0,0.0002,5.868334226835519e-25,2
DENK,BFNijverheidEnEnergie_118,votes,-0.0002,0.0,0.0203,0.0,0.7457,0.00012039836398517362,2
VijftigPlus,BFNijverheidEnEnergie_118,votes_div,0.3254,0.0,0.0088,0.0,0.0001,0.0008297410887597032,1
VVD,GNCommercieleDienstverlening_119,votes,0.0013,0.0,0.0288,0.0,0.2745,0.967209754128608,3
D66,GNCommercieleDienstverlening_119,votes_div,-0.1408,0.0001,0.0036,0.0,0.2036,0.6228380723368003,3
PVV,GNCommercieleDienstverlening_119,votes,0.0001,0.1896,0.0005,0.0,0.0035,0.6820456145144906,1
CDA,GNCommercieleDienstverlening_119,votes_log,-0.008,0.0,0.0274,0.0038,0.0094,0.4685786557942394,2
SP,GNCommercieleDienstverlening_119,votes_div,0.2237,0.0,0.0192,0.0,0.2735,0.09387531297004148,3
PvdA,GNCommercieleDienstverlening_119,votes_div,0.1064,0.0004,0.0028,0.0,0.0317,0.38916711348347255,2
Groenlinks,GNCommercieleDienstverlening_119,votes_div,-0.1098,0.3239,0.0002,0.0,0.102,0.8744985683313512,2
FvD,GNCommercieleDienstverlening_119,votes_square,0.0001,0.0099,0.0061,0.0,0.6733,0.488936940912028,3
PvdD,GNCommercieleDienstverlening_119,votes,0.0002,0.0,0.0141,0.0,0.0051,0.1626890486675162,2
CU,GNCommercieleDienstverlening_119,votes_square,-0.0001,0.0,0.0131,0.0,0.1416,0.26440479493709085,3
SGP,GNCommercieleDienstverlening_119,votes,0.0005,0.0095,0.0034,0.0,0.8325,0.8154843378151351,3
DENK,GNCommercieleDienstverlening_119,votes_square,0.0,0.0003,0.0116,0.0,0.0031,0.09601692059511256,2
VijftigPlus,GNCommercieleDienstverlening_119,votes,0.0002,0.0,0.0075,0.0,0.0862,0.9258874101976927,3
VVD,OUNietCommercieleDienstverlening_120,votes_log,-0.0018,0.0025,0.002,0.0,0.0,0.34077727257485313,2
D66,OUNietCommercieleDienstverlening_120,votes_log,0.0091,0.0,0.0336,0.0,0.6517,0.008558551031139694,2
PVV,OUNietCommercieleDienstverlening_120,votes,-0.0006,0.0,0.0142,0.0,0.2672,0.6019424662812926,3
CDA,OUNietCommercieleDienstverlening_120,votes_log,-0.0088,0.0,0.0427,0.4021,0.4639,0.0300059243142016,3
SP,OUNietCommercieleDienstverlening_120,votes_sqrt,0.0008,0.0,0.0117,0.0941,0.0,0.7121830669277489,3
PvdA,OUNietCommercieleDienstverlening_120,votes,0.0013,0.0,0.0437,0.0,0.0,1.1609413382798382e-19,1
Groenlinks,OUNietCommercieleDienstverlening_120,votes,0.0009,0.0,0.0658,0.0,0.0572,5.739318558937381e-13,3
FvD,OUNietCommercieleDienstverlening_120,votes_square,-0.0001,0.0154,0.0054,0.0,0.9219,0.20801068266841063,3
PvdD,OUNietCommercieleDienstverlening_120,votes,0.0003,0.0,0.0501,0.0,0.0054,4.0070340874108604e-11,2
CU,OUNietCommercieleDienstverlening_120,votes,-0.0004,0.0003,0.0052,0.0,0.0,5.945132738981748e-07,1
SGP,OUNietCommercieleDienstverlening_120,votes,-0.002,0.0,0.0787,0.0,0.0,2.0086447240028506e-16,2
DENK,OUNietCommercieleDienstverlening_120,votes,0.0,0.445,0.0005,0.0,0.0,0.3983598382554242,1
VijftigPlus,OUNietCommercieleDienstverlening_120,votes,-0.0002,0.0,0.0096,0.0,0.0765,0.0037959578067686237,2
VVD,Verkeersterrein_255,votes_div,-0.1393,0.0002,0.0041,0.0,0.48,0.09631866165075074,3
D66,Verkeersterrein_255,votes_div,-3.0404,0.0,0.0144,0.0,0.085,0.182605657048098,3
PVV,Verkeersterrein_255,votes,0.0045,0.0,0.0256,0.0,0.0001,0.08279512787865503,2
CDA,Verkeersterrein_255,votes_div,0.5647,0.0,0.0815,0.0,0.86,1.0263251157903467e-17,3
SP,Verkeersterrein_255,votes,0.0022,0.0,0.0064,0.0,0.0,0.8807416160748373,2
PvdA,Verkeersterrein_255,votes_div,-0.3338,0.0005,0.0036,0.0,0.2392,0.26119474013972477,3
Groenlinks,Verkeersterrein_255,votes_div,-2.8141,0.0002,0.0044,0.0,0.2446,0.28304114268061514,3
FvD,Verkeersterrein_255,0,0.0,0.0,0.0,0.0,0.0,0.0,0
PvdD,Verkeersterrein_255,votes_sqrt,0.0038,0.0,0.0313,0.0,0.9436,0.12561881112784784,3
CU,Verkeersterrein_255,votes,-0.0034,0.0,0.0156,0.0,0.0,5.315756476496877e-08,1
SGP,Verkeersterrein_255,votes,-0.0004,0.5645,0.0001,0.0,0.7825,0.36840976934974323,2
DENK,Verkeersterrein_255,0,0.0,0.0,0.0,0.0,0.0,0.0,0
VijftigPlus,Verkeersterrein_255,votes,0.001,0.0,0.0225,0.0,0.2775,0.5895701436539739,3
VVD,BebouwdTerrein_256,votes,0.0003,0.0043,0.0024,0.0,0.0038,0.5600286171258027,2
D66,BebouwdTerrein_256,votes_log,0.0124,0.0,0.0526,0.0,0.0,0.39265554804318026,3
PVV,BebouwdTerrein_256,votes_log,0.0057,0.0,0.0257,0.0,0.0,0.6854191887179217,2
CDA,BebouwdTerrein_256,votes_div,0.0853,0.0,0.1092,0.0,0.1129,1.0094758488852092e-19,3
SP,BebouwdTerrein_256,votes_div,-0.074,0.0003,0.0046,0.0,0.1187,0.5735068194372324,3
PvdA,BebouwdTerrein_256,votes_log,0.0026,0.0,0.0064,0.0,0.0661,0.8180664920926527,3
Groenlinks,BebouwdTerrein_256,votes,0.0005,0.0,0.0724,0.0,0.0006,1.4080075158388303e-10,2
FvD,BebouwdTerrein_256,0,0.0,0.0,0.0,0.0,0.0,0.0,0
PvdD,BebouwdTerrein_256,votes,0.0002,0.0,0.0574,0.0,0.3006,5.047546366181408e-09,3
CU,BebouwdTerrein_256,votes_square,-0.0001,0.0,0.0079,0.0,0.1066,0.528530371149317,3
SGP,BebouwdTerrein_256,votes_square,-0.0001,0.0002,0.0058,0.0,0.0095,0.2864636787339631,2
DENK,BebouwdTerrein_256,0,0.0,0.0,0.0,0.0,0.0,0.0,0
VijftigPlus,BebouwdTerrein_256,votes,0.0001,0.0,0.0325,0.0,0.0,0.09379809584797388,2
VVD,SemiBebouwdTerrein_257,votes_div,0.1114,0.0004,0.0036,0.0,0.0555,9.415306580858777e-06,2
D66,SemiBebouwdTerrein_257,votes_log,0.0274,0.0,0.0061,0.0,0.0,0.16538823117687004,2
PVV,SemiBebouwdTerrein_257,votes_log,0.0345,0.0,0.021,0.0,0.0,0.9139585910174404,2
CDA,SemiBebouwdTerrein_257,votes,-0.0121,0.0,0.0514,0.0,0.0,0.005393255483321254,2
SP,SemiBebouwdTerrein_257,votes_log,0.0262,0.0,0.0093,0.0,0.0,0.05817718166817467,2
PvdA,SemiBebouwdTerrein_257,votes,0.0051,0.0,0.0203,0.0,0.0001,0.008418213749252217,1
Groenlinks,SemiBebouwdTerrein_257,votes,0.0022,0.0,0.026,0.0,0.0,1.2040732887541375e-06,1
FvD,SemiBebouwdTerrein_257,0,0.0,0.0,0.0,0.0,0.0,0.0,0
PvdD,SemiBebouwdTerrein_257,votes_log,0.0402,0.0,0.015,0.0,0.0003,0.3361398810705244,2
CU,SemiBebouwdTerrein_257,votes_square,-0.0003,0.0028,0.0034,0.0,0.2581,0.9824848837774199,3
SGP,SemiBebouwdTerrein_257,votes,-0.0008,0.2396,0.0006,0.0,0.4002,0.918053699726799,2
DENK,SemiBebouwdTerrein_257,0,0.0,0.0,0.0,0.0,0.0,0.0,0
VijftigPlus,SemiBebouwdTerrein_257,votes_log,0.0267,0.0014,0.0127,0.0941,0.0516,0.2649848618761153,4
VVD,Recreatieterrein_258,votes,0.0022,0.0,0.0139,0.0,0.0,0.5583615122426266,2
D66,Recreatieterrein_258,votes_log,0.0477,0.0,0.0577,0.0,0.0,0.2961528227833124,3
PVV,Recreatieterrein_258,votes,0.0022,0.0,0.0267,0.0,0.2352,0.15181590761900124,3
CDA,Recreatieterrein_258,votes,-0.0094,0.0,0.0963,0.0,0.0,6.716694221675799e-14,2
SP,Recreatieterrein_258,votes_div,-0.263,0.0005,0.0043,0.0,0.419,0.8446999237522522,3
PvdA,Recreatieterrein_258,votes_log,0.0093,0.0,0.006,0.0,0.2756,0.16101879056537802,3
Groenlinks,Recreatieterrein_258,votes_div,-0.8325,0.0225,0.0017,0.0,0.8981,0.500600275128813,3
FvD,Recreatieterrein_258,0,0.0,0.0,0.0,0.0,0.0,0.0,0
PvdD,Recreatieterrein_258,votes_div,-4.1654,0.0,0.0252,0.0,0.1104,0.6154514538723328,3
CU,Recreatieterrein_258,votes_square,-0.0004,0.0,0.0172,0.0,0.0043,0.05474155831419592,2
SGP,Recreatieterrein_258,votes_square,-0.0004,0.0,0.009,0.0,0.0567,0.07434927716438694,3
DENK,Recreatieterrein_258,0,0.0,0.0,0.0,0.0,0.0,0.0,0
VijftigPlus,Recreatieterrein_258,votes_log,0.0262,0.0,0.0509,0.1065,0.0063,0.42324483497637766,4
VVD,AgrarischTerrein_259,votes_div,0.0137,0.0,0.006,0.0,0.2172,0.13438742457359631,3
D66,AgrarischTerrein_259,votes,-0.0005,0.0,0.075,0.0,0.0739,2.965000978614486e-14,3
PVV,AgrarischTerrein_259,votes_div,0.0245,0.0008,0.0066,0.0,0.0,0.7805670196869214,2
CDA,AgrarischTerrein_259,votes,0.0015,0.0,0.0874,0.0,0.1065,6.6306497164917445e-15,3
SP,AgrarischTerrein_259,votes,-0.0001,0.0031,0.003,0.0,0.0,0.9950162170852903,2
PvdA,AgrarischTerrein_259,votes_div,-0.0092,0.2387,0.0004,0.0,0.0294,0.12779376872818024,1
Groenlinks,AgrarischTerrein_259,votes_log,-0.0064,0.0,0.054,0.0,0.2618,0.11203500501876493,4
FvD,AgrarischTerrein_259,0,0.0,0.0,0.0,0.0,0.0,0.0,0
PvdD,AgrarischTerrein_259,votes_log,-0.0072,0.0,0.0549,0.0,0.1554,0.3759209585628993,4
CU,AgrarischTerrein_259,votes_square,0.0,0.0,0.0087,0.0,0.1398,0.22591640376409292,3
SGP,AgrarischTerrein_259,votes,0.0002,0.0002,0.0057,0.0,0.2347,0.09070408621109155,3
DENK,AgrarischTerrein_259,0,0.0,0.0,0.0,0.0,0.0,0.0,0
VijftigPlus,AgrarischTerrein_259,votes_div,0.1553,0.0004,0.0156,0.0,0.0,0.2607787751581699,2
VVD,BosEnOpenNatuurlijkTerrein_260,votes_div,-0.0202,0.0,0.0055,0.0,0.0,0.6416126810311008,2
D66,BosEnOpenNatuurlijkTerrein_260,votes,0.0002,0.0,0.0073,0.0,0.5173,0.12321912723230373,3
PVV,BosEnOpenNatuurlijkTerrein_260,votes,-0.0002,0.0055,0.0045,0.0,0.0,0.8618567906210112,2
CDA,BosEnOpenNatuurlijkTerrein_260,votes,-0.0001,0.3538,0.0002,0.0,0.0,0.8926166058765711,1
SP,BosEnOpenNatuurlijkTerrein_260,votes_div,0.0441,0.0279,0.0017,0.0,0.0641,0.6215402336840516,3
PvdA,BosEnOpenNatuurlijkTerrein_260,votes_div,0.0281,0.0199,0.0016,0.0,0.0116,0.5822379436209636,2
Groenlinks,BosEnOpenNatuurlijkTerrein_260,votes,0.0,0.6262,0.0001,0.0,0.0025,0.14302655709826126,1
FvD,BosEnOpenNatuurlijkTerrein_260,0,0.0,0.0,0.0,0.0,0.0,0.0,0
PvdD,BosEnOpenNatuurlijkTerrein_260,votes_div,-0.1306,0.3697,0.0004,0.0,0.0889,0.6439081054028658,2
CU,BosEnOpenNatuurlijkTerrein_260,votes,-0.0001,0.1196,0.0009,0.0,0.368,0.40036978298946635,2
SGP,BosEnOpenNatuurlijkTerrein_260,votes,-0.0,0.9803,0.0,0.0,0.7653,0.06287557358529094,2
DENK,BosEnOpenNatuurlijkTerrein_260,0,0.0,0.0,0.0,0.0,0.0,0.0,0
VijftigPlus,BosEnOpenNatuurlijkTerrein_260,votes,0.0,0.6261,0.0003,0.0,0.0017,0.6483946792298906,1
VVD,Verkeersterrein_261,votes,-0.0009,0.0,0.008,0.0,0.0001,0.1853357049043727,2
D66,Verkeersterrein_261,votes_div,0.6688,0.0,0.0108,0.0,0.2335,0.3166666070959264,3
PVV,Verkeersterrein_261,votes_sqrt,-0.0015,0.0,0.0202,0.0166,0.0637,0.21073241696469253,3
CDA,Verkeersterrein_261,votes_sqrt,0.0026,0.0,0.0262,0.0,0.0,0.2198606137492895,2
SP,Verkeersterrein_261,votes,-0.0004,0.002,0.0033,0.0,0.4642,0.3272717516140251,3
PvdA,Verkeersterrein_261,votes_div,-0.061,0.0089,0.002,0.0,0.3364,0.08376059195471566,3
Groenlinks,Verkeersterrein_261,votes_div,0.0238,0.9018,0.0,0.0,0.9757,0.09927286947474032,2
FvD,Verkeersterrein_261,0,0.0,0.0,0.0,0.0,0.0,0.0,0
PvdD,Verkeersterrein_261,votes_div,0.7583,0.0111,0.003,0.0,0.0167,0.17804874956777864,2
CU,Verkeersterrein_261,votes_sqrt,0.0012,0.0,0.0082,0.0,0.0531,0.21380802059007445,3
SGP,Verkeersterrein_261,votes,0.0011,0.0,0.0157,0.0,0.6441,4.816704445415339e-09,2
DENK,Verkeersterrein_261,0,0.0,0.0,0.0,0.0,0.0,0.0,0
VijftigPlus,Verkeersterrein_261,votes_log,-0.0147,0.0,0.0513,0.0462,0.15,0.993005260591492,4
VVD,BebouwdTerrein_262,votes_div,0.0473,0.0,0.0049,0.0,0.0022,0.09735253651141676,2
D66,BebouwdTerrein_262,votes_log,-0.0097,0.0,0.0056,0.0,0.0,0.8229766781177096,2
PVV,BebouwdTerrein_262,votes,-0.0002,0.4403,0.0004,0.0,0.7587,0.10861831360858298,2
CDA,BebouwdTerrein_262,votes,0.0007,0.0431,0.0012,0.0,0.0,0.013577123146655186,1
SP,BebouwdTerrein_262,votes_div,-0.3113,0.0,0.0142,0.0,0.1224,0.09409296472044577,3
PvdA,BebouwdTerrein_262,votes_div,-0.0423,0.1533,0.0006,0.0,0.9705,0.17238037525321312,2
Groenlinks,BebouwdTerrein_262,votes_div,-0.0746,0.7523,0.0,0.0,0.3513,0.19262783958675486,2
FvD,BebouwdTerrein_262,0,0.0,0.0,0.0,0.0,0.0,0.0,0
PvdD,BebouwdTerrein_262,votes,-0.0001,0.0168,0.0027,0.0,0.0,2.620528304048809e-06,1
CU,BebouwdTerrein_262,votes_sqrt,-0.0001,0.6525,0.0001,0.0,0.7392,0.17174679734836687,2
SGP,BebouwdTerrein_262,votes_square,-0.0002,0.0053,0.0033,0.0,0.0073,0.2973908338582032,2
DENK,BebouwdTerrein_262,0,0.0,0.0,0.0,0.0,0.0,0.0,0
VijftigPlus,BebouwdTerrein_262,votes_log,-0.0056,0.0269,0.0061,0.1833,0.6553,0.3147160177415738,4
VVD,SemiBebouwdTerrein_263,votes_div,0.071,0.0001,0.0046,0.0,0.2216,0.6760575027627667,3
D66,SemiBebouwdTerrein_263,votes_div,0.987,0.0,0.0059,0.0,0.12,0.7496779969258416,3
PVV,SemiBebouwdTerrein_263,votes,-0.0006,0.0848,0.0017,0.0,0.4565,0.07011011791313518,2
CDA,SemiBebouwdTerrein_263,votes,-0.0011,0.0376,0.0012,0.0,0.724,1.2208073035913798e-05,2
SP,SemiBebouwdTerrein_263,votes,0.0007,0.0104,0.0023,0.0,0.2413,0.26322357835423316,3
PvdA,SemiBebouwdTerrein_263,votes_log,0.0123,0.0,0.0107,0.0,0.0582,0.4675434924584466,3
Groenlinks,SemiBebouwdTerrein_263,votes_div,0.2184,0.5572,0.0001,0.0,0.1487,0.9760883539886664,2
FvD,SemiBebouwdTerrein_263,0,0.0,0.0,0.0,0.0,0.0,0.0,0
PvdD,SemiBebouwdTerrein_263,votes_div,-0.3837,0.5065,0.0002,0.0,0.7332,0.7213185062712038,2
CU,SemiBebouwdTerrein_263,votes,0.0011,0.0,0.0073,0.0,0.7703,0.07905052159725252,3
SGP,SemiBebouwdTerrein_263,votes,0.0014,0.0001,0.0065,0.0,0.0079,0.00017824967749152757,1
DENK,SemiBebouwdTerrein_263,0,0.0,0.0,0.0,0.0,0.0,0.0,0
VijftigPlus,SemiBebouwdTerrein_263,votes_log,-0.015,0.0007,0.0141,0.3102,0.2318,0.9708928126490358,4
VVD,Recreatieterrein_264,votes_div,-0.0475,0.0,0.008,0.0,0.0049,0.25592048758135205,2
D66,Recreatieterrein_264,votes,-0.0001,0.5035,0.0001,0.0,0.1565,0.08636458445785891,2
PVV,Recreatieterrein_264,votes_log,-0.0069,0.0,0.0117,0.0,0.2213,0.7164760506133154,3
CDA,Recreatieterrein_264,votes,0.0002,0.4682,0.0002,0.0,0.0264,0.7827058528180811,1
SP,Recreatieterrein_264,votes_square,-0.0001,0.0136,0.0021,0.0,0.8131,0.11765765007612508,3
PvdA,Recreatieterrein_264,votes,-0.0,0.808,0.0,0.0,0.0545,0.976658457815124,2
Groenlinks,Recreatieterrein_264,votes_div,-0.1841,0.3426,0.0003,0.0,0.6737,0.4688342896950981,2
FvD,Recreatieterrein_264,0,0.0,0.0,0.0,0.0,0.0,0.0,0
PvdD,Recreatieterrein_264,votes,0.0001,0.0273,0.0023,0.0,0.2537,0.2552311017232401,3
CU,Recreatieterrein_264,votes,-0.0004,0.0026,0.0034,0.0,0.1692,0.004491367705655098,2
SGP,Recreatieterrein_264,votes,-0.0003,0.085,0.0012,0.0,0.0726,0.544381972339127,2
DENK,Recreatieterrein_264,0,0.0,0.0,0.0,0.0,0.0,0.0,0
VijftigPlus,Recreatieterrein_264,votes_log,-0.0015,0.4337,0.0008,0.0844,0.2219,0.9982225887698907,3
VVD,AgrarischTerrein_265,votes_div,0.0012,0.0,0.0049,0.0,0.0565,0.12996821575274733,3
D66,AgrarischTerrein_265,votes_log,-0.0008,0.0,0.0588,0.0,0.0,0.8941044621965414,3
PVV,AgrarischTerrein_265,votes_log,-0.0004,0.0,0.0345,0.0,0.3577,0.4085036564601183,3
CDA,AgrarischTerrein_265,votes_log,0.0005,0.0,0.0471,0.0,0.0,0.127922098398276,2
SP,AgrarischTerrein_265,votes,-0.0,0.0028,0.0031,0.0,0.0005,0.3619586253428234,2
PvdA,AgrarischTerrein_265,votes_div,-0.0016,0.0268,0.0015,0.0,0.5144,0.18851557817334644,3
Groenlinks,AgrarischTerrein_265,votes_log,-0.0004,0.0,0.0234,0.0,0.0,0.20681633355261428,2
FvD,AgrarischTerrein_265,0,0.0,0.0,0.0,0.0,0.0,0.0,0
PvdD,AgrarischTerrein_265,votes_div,0.0348,0.0001,0.0068,0.0,0.0,0.5663510160381835,2
CU,AgrarischTerrein_265,votes,0.0,0.0,0.0158,0.0,0.0011,0.3794445220766326,2
SGP,AgrarischTerrein_265,votes,0.0,0.1577,0.0008,0.0,0.0,0.06405074349246762,1
DENK,AgrarischTerrein_265,0,0.0,0.0,0.0,0.0,0.0,0.0,0
VijftigPlus,AgrarischTerrein_265,votes_log,-0.0005,0.0,0.071,0.0814,0.3911,0.6238938013326915,5
VVD,BosEnOpenNatuurlijkTerrein_266,votes_div,-0.0009,0.002,0.0028,0.0,0.3177,0.6067629727153978,3
D66,BosEnOpenNatuurlijkTerrein_266,votes_div,-0.0024,0.5176,0.0001,0.0,0.1548,0.7449695631557127,2
PVV,BosEnOpenNatuurlijkTerrein_266,votes,-0.0,0.0,0.0134,0.0,0.0139,0.0887245263523679,2
CDA,BosEnOpenNatuurlijkTerrein_266,votes,-0.0,0.7867,0.0,0.0,0.0,0.9744263480128859,1
SP,BosEnOpenNatuurlijkTerrein_266,votes,-0.0,0.049,0.0014,0.0,0.0022,0.4756493510223694,2
PvdA,BosEnOpenNatuurlijkTerrein_266,votes_div,-0.0005,0.537,0.0001,0.0,0.5675,0.7479971804477339,2
Groenlinks,BosEnOpenNatuurlijkTerrein_266,votes_div,-0.0037,0.5434,0.0001,0.0,0.8391,0.756412643105131,2
FvD,BosEnOpenNatuurlijkTerrein_266,0,0.0,0.0,0.0,0.0,0.0,0.0,0
PvdD,BosEnOpenNatuurlijkTerrein_266,votes_div,-0.005,0.5577,0.0002,0.0,0.1585,0.7649862406868325,2
CU,BosEnOpenNatuurlijkTerrein_266,votes,-0.0,0.149,0.0008,0.0,0.2615,0.4177797707118601,2
SGP,BosEnOpenNatuurlijkTerrein_266,votes_sqrt,-0.0,0.0457,0.0017,0.0,0.747,0.4512495487696422,3
